simulation_day,patients_treated,total_pfs_available,biomarker_group,group_patients_treated,group_pfs_count,mean_pfs,pfs_sd,lower_boundary,upper_boundary,best_elapsed_pfs,best_ongoing_pfs
23,23,0,Medium,11,0,,,,,,22.0
23,23,0,High,6,0,,,,,,17.0
24,24,0,Low,6,0,,,,,,21.0
24,24,0,Medium,11,0,,,,,,23.0
24,24,0,High,7,0,,,,,,18.0
25,25,0,Low,7,0,,,,,,22.0
25,25,0,Medium,11,0,,,,,,24.0
25,25,0,High,7,0,,,,,,19.0
26,26,0,Low,7,0,,,,,,23.0
26,26,0,Medium,11,0,,,,,,25.0
26,26,0,High,8,0,,,,,,20.0
27,27,0,Low,8,0,,,,,,24.0
27,27,0,Medium,11,0,,,,,,26.0
27,27,0,High,8,0,,,,,,21.0
28,28,0,Low,9,0,,,,,,25.0
28,28,0,Medium,11,0,,,,,,27.0
28,28,0,High,8,0,,,,,,22.0
29,29,0,Low,9,0,,,,,,26.0
29,29,0,Medium,11,0,,,,,,28.0
29,29,0,High,9,0,,,,,,23.0
30,30,0,Low,9,0,,,,,,27.0
30,30,0,Medium,11,0,,,,,,29.0
30,30,0,High,10,0,,,,,,24.0
31,31,0,Low,10,0,,,,,,28.0
31,31,0,Medium,11,0,,,,,,30.0
31,31,0,High,10,0,,,,,,25.0
32,32,0,Low,11,0,,,,,,29.0
32,32,0,Medium,11,0,,,,,,31.0
32,32,0,High,10,0,,,,,,26.0
33,33,0,Low,12,0,,,,,,30.0
33,33,0,Medium,11,0,,,,,,32.0
33,33,0,High,10,0,,,,,,27.0
34,34,0,Low,12,0,,,,,,31.0
34,34,0,Medium,12,0,,,,,,33.0
34,34,0,High,10,0,,,,,,28.0
35,35,0,Low,13,0,,,,,,32.0
35,35,0,Medium,12,0,,,,,,34.0
35,35,0,High,10,0,,,,,,29.0
36,36,0,Low,14,0,,,,,,33.0
36,36,0,Medium,12,0,,,,,,35.0
36,36,0,High,10,0,,,,,,30.0
37,37,0,Low,14,0,,,,,,34.0
37,37,0,Medium,13,0,,,,,,36.0
37,37,0,High,10,0,,,,,,31.0
38,38,0,Low,15,0,,,,,,35.0
38,38,0,Medium,13,0,,,,,,37.0
38,38,0,High,10,0,,,,,,32.0
39,39,0,Low,15,0,,,,,,36.0
39,39,0,Medium,14,0,,,,,,38.0
39,39,0,High,10,0,,,,,,33.0
40,40,0,Low,16,0,,,,,,37.0
40,40,0,Medium,14,0,,,,,,39.0
40,40,0,High,10,0,,,,,,34.0
41,41,0,Low,16,0,,,,,,38.0
41,41,0,Medium,14,0,,,,,,40.0
41,41,0,High,11,0,,,,,,35.0
42,42,0,Low,16,0,,,,,,39.0
42,42,0,Medium,15,0,,,,,,41.0
42,42,0,High,11,0,,,,,,36.0
43,43,0,Low,17,0,,,,,,40.0
43,43,0,Medium,15,0,,,,,,42.0
43,43,0,High,11,0,,,,,,37.0
44,44,0,Low,18,0,,,,,,41.0
44,44,0,Medium,15,0,,,,,,43.0
44,44,0,High,11,0,,,,,,38.0
45,45,0,Low,19,0,,,,,,42.0
45,45,0,Medium,15,0,,,,,,44.0
45,45,0,High,11,0,,,,,,39.0
46,46,0,Low,19,0,,,,,,43.0
46,46,0,Medium,16,0,,,,,,45.0
46,46,0,High,11,0,,,,,,40.0
47,47,0,Low,19,0,,,,,,44.0
47,47,0,Medium,17,0,,,,,,46.0
47,47,0,High,11,0,,,,,,41.0
48,48,0,Low,19,0,,,,,,45.0
48,48,0,Medium,18,0,,,,,,47.0
48,48,0,High,11,0,,,,,,42.0
49,49,0,Low,20,0,,,,,,46.0
49,49,0,Medium,18,0,,,,,,48.0
49,49,0,High,11,0,,,,,,43.0
50,50,0,Low,20,0,,,,,,47.0
50,50,0,Medium,19,0,,,,,,49.0
50,50,0,High,11,0,,,,,,44.0
51,51,0,Low,21,0,,,,,,48.0
51,51,0,Medium,19,0,,,,,,50.0
51,51,0,High,11,0,,,,,,45.0
52,52,0,Low,21,0,,,,,,49.0
52,52,0,Medium,19,0,,,,,,51.0
52,52,0,High,12,0,,,,,,46.0
53,53,0,Low,21,0,,,,,,50.0
53,53,0,Medium,19,0,,,,,,52.0
53,53,0,High,13,0,,,,,,47.0
54,54,0,Low,22,0,,,,,,51.0
54,54,0,Medium,19,0,,,,,,53.0
54,54,0,High,13,0,,,,,,48.0
55,55,0,Low,22,0,,,,,,52.0
55,55,0,Medium,19,0,,,,,,54.0
55,55,0,High,14,0,,,,,,49.0
56,56,0,Low,22,0,,,,,,53.0
56,56,0,Medium,20,0,,,,,,55.0
56,56,0,High,14,0,,,,,,50.0
57,57,0,Low,22,0,,,,,,54.0
57,57,0,Medium,21,0,,,,,,56.0
57,57,0,High,14,0,,,,,,51.0
58,58,0,Low,22,0,,,,,,55.0
58,58,0,Medium,22,0,,,,,,57.0
58,58,0,High,14,0,,,,,,52.0
59,59,0,Low,22,0,,,,,,56.0
59,59,0,Medium,23,0,,,,,,58.0
59,59,0,High,14,0,,,,,,53.0
60,60,0,Low,22,0,,,,,,57.0
60,60,0,Medium,23,0,,,,,,59.0
60,60,0,High,15,0,,,,,,54.0
61,61,0,Low,22,0,,,,,,58.0
61,61,0,Medium,24,0,,,,,,60.0
61,61,0,High,15,0,,,,,,55.0
62,62,0,Low,22,0,,,,,,59.0
62,62,0,Medium,25,0,,,,,,61.0
62,62,0,High,15,0,,,,,,56.0
63,63,0,Low,22,0,,,,,,60.0
63,63,0,Medium,26,0,,,,,,62.0
63,63,0,High,15,0,,,,,,57.0
64,64,0,Low,23,0,,,,,,61.0
64,64,0,Medium,26,0,,,,,,63.0
64,64,0,High,15,0,,,,,,58.0
65,65,0,Low,24,0,,,,,,62.0
65,65,0,Medium,26,0,,,,,,64.0
65,65,0,High,15,0,,,,,,59.0
66,66,0,Low,24,0,,,,,,63.0
66,66,0,Medium,26,0,,,,,,65.0
66,66,0,High,16,0,,,,,,60.0
67,67,0,Low,24,0,,,,,,64.0
67,67,0,Medium,26,0,,,,,,66.0
67,67,0,High,17,0,,,,,,61.0
68,68,0,Low,24,0,,,,,,65.0
68,68,0,Medium,27,0,,,,,,67.0
68,68,0,High,17,0,,,,,,62.0
69,69,0,Low,25,0,,,,,,66.0
69,69,0,Medium,27,0,,,,,,68.0
69,69,0,High,17,0,,,,,,63.0
70,70,0,Low,25,0,,,,,,67.0
70,70,0,Medium,28,0,,,,,,69.0
70,70,0,High,17,0,,,,,,64.0
71,71,0,Low,25,0,,,,,,68.0
71,71,0,Medium,29,0,,,,,,70.0
71,71,0,High,17,0,,,,,,65.0
72,72,0,Low,25,0,,,,,,69.0
72,72,0,Medium,29,0,,,,,,71.0
72,72,0,High,18,0,,,,,,66.0
73,73,0,Low,26,0,,,,,,70.0
73,73,0,Medium,29,0,,,,,,72.0
73,73,0,High,18,0,,,,,,67.0
74,74,0,Low,26,0,,,,,,71.0
74,74,0,Medium,30,0,,,,,,73.0
74,74,0,High,18,0,,,,,,68.0
75,75,0,Low,26,0,,,,,,72.0
75,75,0,Medium,31,0,,,,,,74.0
75,75,0,High,18,0,,,,,,69.0
76,76,0,Low,27,0,,,,,,73.0
76,76,0,Medium,31,0,,,,,,75.0
76,76,0,High,18,0,,,,,,70.0
77,77,0,Low,28,0,,,,,,74.0
77,77,0,Medium,31,0,,,,,,76.0
77,77,0,High,18,0,,,,,,71.0
78,78,0,Low,28,0,,,,,,75.0
78,78,0,Medium,32,0,,,,,,77.0
78,78,0,High,18,0,,,,,,72.0
79,79,0,Low,28,0,,,,,,76.0
79,79,0,Medium,32,0,,,,,,78.0
79,79,0,High,19,0,,,,,,73.0
80,80,0,Low,28,0,,,,,,77.0
80,80,0,Medium,33,0,,,,,,79.0
80,80,0,High,19,0,,,,,,74.0
81,81,0,Low,29,0,,,,,,78.0
81,81,0,Medium,33,0,,,,,,80.0
81,81,0,High,19,0,,,,,,75.0
82,82,0,Low,29,0,,,,,,79.0
82,82,0,Medium,33,0,,,,,,81.0
82,82,0,High,20,0,,,,,,76.0
83,83,0,Low,30,0,,,,,,80.0
83,83,0,Medium,33,0,,,,,,82.0
83,83,0,High,20,0,,,,,,77.0
84,84,0,Low,30,0,,,,,,81.0
84,84,0,Medium,34,0,,,,,,83.0
84,84,0,High,20,0,,,,,,78.0
85,85,0,Low,30,0,,,,,,82.0
85,85,0,Medium,34,0,,,,,,84.0
85,85,0,High,21,0,,,,,,79.0
86,86,0,Low,31,0,,,,,,83.0
86,86,0,Medium,34,0,,,,,,85.0
86,86,0,High,21,0,,,,,,80.0
87,87,0,Low,31,0,,,,,,84.0
87,87,0,Medium,35,0,,,,,,86.0
87,87,0,High,21,0,,,,,,81.0
88,88,0,Low,32,0,,,,,,85.0
88,88,0,Medium,35,0,,,,,,87.0
88,88,0,High,21,0,,,,,,82.0
89,89,0,Low,33,0,,,,,,86.0
89,89,0,Medium,35,0,,,,,,88.0
89,89,0,High,21,0,,,,,,83.0
90,90,0,Low,33,0,,,,,,87.0
90,90,0,Medium,36,0,,,,,,89.0
90,90,0,High,21,0,,,,,,84.0
91,91,0,Low,33,0,,,,,,88.0
91,91,0,Medium,36,0,,,,,,90.0
91,91,0,High,22,0,,,,,,85.0
92,92,0,Low,33,0,,,,,,89.0
92,92,0,Medium,37,0,,,,,,91.0
92,92,0,High,22,0,,,,,,86.0
93,93,0,Low,33,0,,,,,,90.0
93,93,0,Medium,37,0,,,,,,92.0
93,93,0,High,23,0,,,,,,87.0
94,94,0,Low,33,0,,,,,,91.0
94,94,0,Medium,38,0,,,,,,93.0
94,94,0,High,23,0,,,,,,88.0
95,95,0,Low,34,0,,,,,,92.0
95,95,0,Medium,38,0,,,,,,94.0
95,95,0,High,23,0,,,,,,89.0
96,96,0,Low,34,0,,,,,,93.0
96,96,0,Medium,39,0,,,,,,95.0
96,96,0,High,23,0,,,,,,90.0
97,97,0,Low,34,0,,,,,,94.0
97,97,0,Medium,40,0,,,,,,96.0
97,97,0,High,23,0,,,,,,91.0
98,98,0,Low,35,0,,,,,,95.0
98,98,0,Medium,40,0,,,,,,97.0
98,98,0,High,23,0,,,,,,92.0
99,99,0,Low,36,0,,,,,,96.0
99,99,0,Medium,40,0,,,,,,98.0
99,99,0,High,23,0,,,,,,93.0
100,100,0,Low,36,0,,,,,,97.0
100,100,0,Medium,41,0,,,,,,99.0
100,100,0,High,23,0,,,,,,94.0
101,101,0,Low,36,0,,,,,,98.0
101,101,0,Medium,42,0,,,,,,100.0
101,101,0,High,23,0,,,,,,95.0
102,102,0,Low,36,0,,,,,,99.0
102,102,0,Medium,43,0,,,,,,101.0
102,102,0,High,23,0,,,,,,96.0
103,103,0,Low,36,0,,,,,,100.0
103,103,0,Medium,44,0,,,,,,102.0
103,103,0,High,23,0,,,,,,97.0
104,104,0,Low,36,0,,,,,,101.0
104,104,0,Medium,44,0,,,,,,103.0
104,104,0,High,24,0,,,,,,98.0
105,105,0,Low,36,0,,,,,,102.0
105,105,0,Medium,45,0,,,,,,104.0
105,105,0,High,24,0,,,,,,99.0
106,106,0,Low,37,0,,,,,,103.0
106,106,0,Medium,45,0,,,,,,105.0
106,106,0,High,24,0,,,,,,100.0
107,107,0,Low,38,0,,,,,,104.0
107,107,0,Medium,45,0,,,,,,106.0
107,107,0,High,24,0,,,,,,101.0
108,108,0,Low,38,0,,,,,,105.0
108,108,0,Medium,46,0,,,,,,107.0
108,108,0,High,24,0,,,,,,102.0
109,109,0,Low,38,0,,,,,,106.0
109,109,0,Medium,47,0,,,,,,108.0
109,109,0,High,24,0,,,,,,103.0
110,110,0,Low,38,0,,,,,,107.0
110,110,0,Medium,47,0,,,,,,109.0
110,110,0,High,25,0,,,,,,104.0
111,111,0,Low,39,0,,,,,,108.0
111,111,0,Medium,47,0,,,,,,110.0
111,111,0,High,25,0,,,,,,105.0
112,112,0,Low,39,0,,,,,,109.0
112,112,0,Medium,47,0,,,,,,111.0
112,112,0,High,26,0,,,,,,106.0
113,113,0,Low,39,0,,,,,,110.0
113,113,0,Medium,47,0,,,,,,112.0
113,113,0,High,27,0,,,,,,107.0
114,114,0,Low,39,0,,,,,,111.0
114,114,0,Medium,48,0,,,,,,113.0
114,114,0,High,27,0,,,,,,108.0
115,115,0,Low,39,0,,,,,,112.0
115,115,0,Medium,49,0,,,,,,114.0
115,115,0,High,27,0,,,,,,109.0
116,116,0,Low,40,0,,,,,,113.0
116,116,0,Medium,49,0,,,,,,115.0
116,116,0,High,27,0,,,,,,110.0
117,117,0,Low,40,0,,,,,,114.0
117,117,0,Medium,50,0,,,,,,116.0
117,117,0,High,27,0,,,,,,111.0
118,118,0,Low,41,0,,,,,,115.0
118,118,0,Medium,50,0,,,,,,117.0
118,118,0,High,27,0,,,,,,112.0
119,119,0,Low,42,0,,,,,,116.0
119,119,0,Medium,50,0,,,,,,118.0
119,119,0,High,27,0,,,,,,113.0
120,120,0,Low,42,0,,,,,,117.0
120,120,0,Medium,51,0,,,,,,119.0
120,120,0,High,27,0,,,,,,114.0
121,121,0,Low,43,0,,,,,,118.0
121,121,0,Medium,51,0,,,,,,120.0
121,121,0,High,27,0,,,,,,115.0
122,122,0,Low,44,0,,,,,,119.0
122,122,0,Medium,51,0,,,,,,121.0
122,122,0,High,27,0,,,,,,116.0
123,123,0,Low,45,0,,,,,,120.0
123,123,0,Medium,51,0,,,,,,122.0
123,123,0,High,27,0,,,,,,117.0
124,124,0,Low,45,0,,,,,,121.0
124,124,0,Medium,51,0,,,,,,123.0
124,124,0,High,28,0,,,,,,118.0
125,125,0,Low,45,0,,,,,,122.0
125,125,0,Medium,52,0,,,,,,124.0
125,125,0,High,28,0,,,,,,119.0
126,126,0,Low,46,0,,,,,,123.0
126,126,0,Medium,52,0,,,,,,125.0
126,126,0,High,28,0,,,,,,120.0
127,127,0,Low,46,0,,,,,,124.0
127,127,0,Medium,53,0,,,,,,126.0
127,127,0,High,28,0,,,,,,121.0
128,128,0,Low,47,0,,,,,,125.0
128,128,0,Medium,53,0,,,,,,127.0
128,128,0,High,28,0,,,,,,122.0
129,129,0,Low,47,0,,,,,,126.0
129,129,0,Medium,53,0,,,,,,128.0
129,129,0,High,29,0,,,,,,123.0
130,130,0,Low,47,0,,,,,,127.0
130,130,0,Medium,53,0,,,,,,129.0
130,130,0,High,30,0,,,,,,124.0
131,131,0,Low,47,0,,,,,,128.0
131,131,0,Medium,54,0,,,,,,130.0
131,131,0,High,30,0,,,,,,125.0
132,132,0,Low,47,0,,,,,,129.0
132,132,0,Medium,55,0,,,,,,131.0
132,132,0,High,30,0,,,,,,126.0
133,133,0,Low,48,0,,,,,,130.0
133,133,0,Medium,55,0,,,,,,132.0
133,133,0,High,30,0,,,,,,127.0
134,134,0,Low,48,0,,,,,,131.0
134,134,0,Medium,56,0,,,,,,133.0
134,134,0,High,30,0,,,,,,128.0
135,135,0,Low,49,0,,,,,,132.0
135,135,0,Medium,56,0,,,,,,134.0
135,135,0,High,30,0,,,,,,129.0
136,136,0,Low,50,0,,,,,,133.0
136,136,0,Medium,56,0,,,,,,135.0
136,136,0,High,30,0,,,,,,130.0
137,137,0,Low,50,0,,,,,,134.0
137,137,0,Medium,56,0,,,,,,136.0
137,137,0,High,31,0,,,,,,131.0
138,138,0,Low,50,0,,,,,,135.0
138,138,0,Medium,56,0,,,,,,137.0
138,138,0,High,32,0,,,,,,132.0
139,139,0,Low,50,0,,,,,,136.0
139,139,0,Medium,57,0,,,,,,138.0
139,139,0,High,32,0,,,,,,133.0
140,140,0,Low,50,0,,,,,,137.0
140,140,0,Medium,58,0,,,,,,139.0
140,140,0,High,32,0,,,,,,134.0
141,141,0,Low,50,0,,,,,,138.0
141,141,0,Medium,58,0,,,,,,140.0
141,141,0,High,33,0,,,,,,135.0
142,142,1,Low,51,0,,,,,,139.0
142,142,1,Medium,58,1,80.0,,,,80.0,141.0
142,142,1,High,33,0,,,,,,136.0
143,143,1,Low,52,0,,,,,,140.0
143,143,1,Medium,58,1,80.0,,,,80.0,142.0
143,143,1,High,33,0,,,,,,137.0
144,144,2,Low,53,0,,,,,,141.0
144,144,2,Medium,58,2,110.0,42.42640687119285,25.147186257614294,194.8528137423857,140.0,143.0
144,144,2,High,33,0,,,,,,138.0
145,145,2,Low,54,0,,,,,,142.0
145,145,2,Medium,58,2,110.0,42.42640687119285,25.147186257614294,194.8528137423857,140.0,144.0
145,145,2,High,33,0,,,,,,139.0
146,146,3,Low,54,0,,,,,,143.0
146,146,3,Medium,59,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,145.0
146,146,3,High,33,0,,,,,,140.0
147,147,3,Low,54,0,,,,,,144.0
147,147,3,Medium,59,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,146.0
147,147,3,High,34,0,,,,,,141.0
148,148,3,Low,54,0,,,,,,145.0
148,148,3,Medium,60,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,147.0
148,148,3,High,34,0,,,,,,142.0
149,149,3,Low,54,0,,,,,,146.0
149,149,3,Medium,61,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,148.0
149,149,3,High,34,0,,,,,,143.0
150,150,4,Low,54,1,135.0,,,,135.0,147.0
150,150,4,Medium,62,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,149.0
150,150,4,High,34,0,,,,,,144.0
151,151,4,Low,54,1,135.0,,,,135.0,148.0
151,151,4,Medium,63,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,150.0
151,151,4,High,34,0,,,,,,145.0
152,152,4,Low,54,1,135.0,,,,135.0,149.0
152,152,4,Medium,63,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,151.0
152,152,4,High,35,0,,,,,,146.0
153,153,4,Low,54,1,135.0,,,,135.0,150.0
153,153,4,Medium,64,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,152.0
153,153,4,High,35,0,,,,,,147.0
154,154,4,Low,54,1,135.0,,,,135.0,151.0
154,154,4,Medium,65,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,153.0
154,154,4,High,35,0,,,,,,148.0
155,155,4,Low,54,1,135.0,,,,135.0,152.0
155,155,4,Medium,65,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,154.0
155,155,4,High,36,0,,,,,,149.0
156,156,4,Low,54,1,135.0,,,,135.0,153.0
156,156,4,Medium,65,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,155.0
156,156,4,High,37,0,,,,,,150.0
157,157,4,Low,55,1,135.0,,,,135.0,154.0
157,157,4,Medium,65,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,156.0
157,157,4,High,37,0,,,,,,151.0
158,158,4,Low,55,1,135.0,,,,135.0,155.0
158,158,4,Medium,66,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,157.0
158,158,4,High,37,0,,,,,,152.0
159,159,4,Low,55,1,135.0,,,,135.0,156.0
159,159,4,Medium,67,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,158.0
159,159,4,High,37,0,,,,,,153.0
160,160,4,Low,56,1,135.0,,,,135.0,157.0
160,160,4,Medium,67,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,159.0
160,160,4,High,37,0,,,,,,154.0
161,161,4,Low,57,1,135.0,,,,135.0,158.0
161,161,4,Medium,67,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,160.0
161,161,4,High,37,0,,,,,,155.0
162,162,4,Low,57,1,135.0,,,,135.0,159.0
162,162,4,Medium,68,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,161.0
162,162,4,High,37,0,,,,,,156.0
163,163,4,Low,58,1,135.0,,,,135.0,160.0
163,163,4,Medium,68,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,162.0
163,163,4,High,37,0,,,,,,157.0
164,164,4,Low,58,1,135.0,,,,135.0,161.0
164,164,4,Medium,68,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,163.0
164,164,4,High,38,0,,,,,,158.0
165,165,4,Low,58,1,135.0,,,,135.0,162.0
165,165,4,Medium,69,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,164.0
165,165,4,High,38,0,,,,,,159.0
166,166,5,Low,58,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,163.0
166,166,5,Medium,70,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,165.0
166,166,5,High,38,0,,,,,,160.0
167,167,6,Low,59,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,164.0
167,167,6,Medium,70,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,166.0
167,167,6,High,38,1,161.0,,,,161.0,160.0
168,168,6,Low,59,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,165.0
168,168,6,Medium,71,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,167.0
168,168,6,High,38,1,161.0,,,,161.0,161.0
169,169,6,Low,59,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,166.0
169,169,6,Medium,72,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,168.0
169,169,6,High,38,1,161.0,,,,161.0,162.0
170,170,6,Low,59,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,167.0
170,170,6,Medium,72,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,169.0
170,170,6,High,39,1,161.0,,,,161.0,163.0
171,171,6,Low,60,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,168.0
171,171,6,Medium,72,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,170.0
171,171,6,High,39,1,161.0,,,,161.0,164.0
172,172,6,Low,60,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,169.0
172,172,6,Medium,72,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,171.0
172,172,6,High,40,1,161.0,,,,161.0,165.0
173,173,6,Low,61,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,170.0
173,173,6,Medium,72,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,172.0
173,173,6,High,40,1,161.0,,,,161.0,166.0
174,174,6,Low,62,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,171.0
174,174,6,Medium,72,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,173.0
174,174,6,High,40,1,161.0,,,,161.0,167.0
175,175,6,Low,62,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,172.0
175,175,6,Medium,73,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,174.0
175,175,6,High,40,1,161.0,,,,161.0,168.0
176,176,6,Low,62,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,173.0
176,176,6,Medium,74,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,175.0
176,176,6,High,40,1,161.0,,,,161.0,169.0
177,177,6,Low,62,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,174.0
177,177,6,Medium,75,3,114.66666666666667,31.069813860616115,52.52703894543444,176.8062943878989,140.0,176.0
177,177,6,High,40,1,161.0,,,,161.0,170.0
178,178,7,Low,62,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,175.0
178,178,7,Medium,76,4,105.25,31.595094555959157,42.059810888081685,168.4401891119183,140.0,177.0
178,178,7,High,40,1,161.0,,,,161.0,171.0
179,179,7,Low,62,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,176.0
179,179,7,Medium,77,4,105.25,31.595094555959157,42.059810888081685,168.4401891119183,140.0,178.0
179,179,7,High,40,1,161.0,,,,161.0,172.0
180,180,8,Low,63,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,177.0
180,180,8,Medium,77,5,110.8,30.044966300530277,50.710067398939444,170.88993260106054,140.0,179.0
180,180,8,High,40,1,161.0,,,,161.0,173.0
181,181,8,Low,63,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,178.0
181,181,8,Medium,78,5,110.8,30.044966300530277,50.710067398939444,170.88993260106054,140.0,180.0
181,181,8,High,40,1,161.0,,,,161.0,174.0
182,182,8,Low,63,2,129.0,8.48528137423857,112.02943725152286,145.97056274847714,135.0,179.0
182,182,8,Medium,79,5,110.8,30.044966300530277,50.710067398939444,170.88993260106054,140.0,181.0
