simulation_day,patients_treated,total_pfs_available,biomarker_group,group_pfs_count,mean_pfs,pfs_sd,lower_boundary,upper_boundary
173,173,13,Low,4.0,119.75,37.686204372422544,44.37759125515491,195.12240874484507
173,173,13,Medium,8.0,111.125,42.7732810458652,25.578437908269606,196.67156209173038
174,174,13,High,1.0,39.0,,,
174,174,13,Low,4.0,119.75,37.686204372422544,44.37759125515491,195.12240874484507
174,174,13,Medium,8.0,111.125,42.7732810458652,25.578437908269606,196.67156209173038
175,175,14,High,1.0,39.0,,,
175,175,14,Low,4.0,119.75,37.686204372422544,44.37759125515491,195.12240874484507
175,175,14,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
176,176,14,High,1.0,39.0,,,
176,176,14,Low,4.0,119.75,37.686204372422544,44.37759125515491,195.12240874484507
176,176,14,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
177,177,14,High,1.0,39.0,,,
177,177,14,Low,4.0,119.75,37.686204372422544,44.37759125515491,195.12240874484507
177,177,14,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
178,178,15,High,1.0,39.0,,,
178,178,15,Low,5.0,126.2,35.68192819901974,54.83614360196053,197.5638563980395
178,178,15,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
179,179,15,High,1.0,39.0,,,
179,179,15,Low,5.0,126.2,35.68192819901974,54.83614360196053,197.5638563980395
179,179,15,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
180,180,15,High,1.0,39.0,,,
180,180,15,Low,5.0,126.2,35.68192819901974,54.83614360196053,197.5638563980395
180,180,15,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
181,181,15,High,1.0,39.0,,,
181,181,15,Low,5.0,126.2,35.68192819901974,54.83614360196053,197.5638563980395
181,181,15,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
182,182,15,High,1.0,39.0,,,
182,182,15,Low,5.0,126.2,35.68192819901974,54.83614360196053,197.5638563980395
182,182,15,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
183,183,16,High,1.0,39.0,,,
183,183,16,Low,6.0,133.83333333333334,36.98873702448716,59.85585928435903,207.81080738230764
183,183,16,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
184,184,16,High,1.0,39.0,,,
184,184,16,Low,6.0,133.83333333333334,36.98873702448716,59.85585928435903,207.81080738230764
184,184,16,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
185,185,16,High,1.0,39.0,,,
185,185,16,Low,6.0,133.83333333333334,36.98873702448716,59.85585928435903,207.81080738230764
185,185,16,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
186,186,16,High,1.0,39.0,,,
186,186,16,Low,6.0,133.83333333333334,36.98873702448716,59.85585928435903,207.81080738230764
186,186,16,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
187,187,16,High,1.0,39.0,,,
187,187,16,Low,6.0,133.83333333333334,36.98873702448716,59.85585928435903,207.81080738230764
187,187,16,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
188,188,17,High,1.0,39.0,,,
188,188,17,Low,7.0,140.85714285714286,38.541875803808395,63.77339124952607,217.94089446475965
188,188,17,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
189,189,17,High,1.0,39.0,,,
189,189,17,Low,7.0,140.85714285714286,38.541875803808395,63.77339124952607,217.94089446475965
189,189,17,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
190,190,18,High,1.0,39.0,,,
190,190,18,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
190,190,18,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
191,191,18,High,1.0,39.0,,,
191,191,18,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
191,191,18,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
192,192,18,High,1.0,39.0,,,
192,192,18,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
192,192,18,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
193,193,18,High,1.0,39.0,,,
193,193,18,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
193,193,18,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
194,194,18,High,1.0,39.0,,,
194,194,18,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
194,194,18,Medium,9.0,110.55555555555556,40.04719438085242,30.461166793850722,190.6499443172604
195,195,19,High,1.0,39.0,,,
195,195,19,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
195,195,19,Medium,10.0,118.0,44.49469381597965,29.010612368040697,206.9893876319593
196,196,19,High,1.0,39.0,,,
196,196,19,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
196,196,19,Medium,10.0,118.0,44.49469381597965,29.010612368040697,206.9893876319593
197,197,20,High,1.0,39.0,,,
197,197,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
197,197,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
198,198,20,High,1.0,39.0,,,
198,198,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
198,198,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
199,199,20,High,1.0,39.0,,,
199,199,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
199,199,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
200,200,20,High,1.0,39.0,,,
200,200,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
200,200,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
201,201,20,High,1.0,39.0,,,
201,201,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
201,201,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
202,202,20,High,1.0,39.0,,,
202,202,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
202,202,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
203,203,20,High,1.0,39.0,,,
203,203,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
203,203,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
204,204,20,High,1.0,39.0,,,
204,204,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
204,204,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
205,205,20,High,1.0,39.0,,,
205,205,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
205,205,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
206,206,20,High,1.0,39.0,,,
206,206,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
206,206,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
207,207,20,High,1.0,39.0,,,
207,207,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
207,207,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
208,208,20,High,1.0,39.0,,,
208,208,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
208,208,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
209,209,20,High,1.0,39.0,,,
209,209,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
209,209,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
210,210,20,High,1.0,39.0,,,
210,210,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
210,210,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
211,211,20,High,1.0,39.0,,,
211,211,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
211,211,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
212,212,20,High,1.0,39.0,,,
212,212,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
212,212,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
213,213,20,High,1.0,39.0,,,
213,213,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
213,213,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
214,214,20,High,1.0,39.0,,,
214,214,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
214,214,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
215,215,20,High,1.0,39.0,,,
215,215,20,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
215,215,20,Medium,11.0,120.54545454545455,43.047331244488625,34.4507920564773,206.6401170344318
216,216,21,High,1.0,39.0,,,
216,216,21,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
216,216,21,Medium,12.0,127.33333333333333,47.30237997728182,32.728573378769696,221.93809328789695
217,217,21,High,1.0,39.0,,,
217,217,21,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
217,217,21,Medium,12.0,127.33333333333333,47.30237997728182,32.728573378769696,221.93809328789695
218,218,21,High,1.0,39.0,,,
218,218,21,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
218,218,21,Medium,12.0,127.33333333333333,47.30237997728182,32.728573378769696,221.93809328789695
219,219,21,High,1.0,39.0,,,
219,219,21,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
219,219,21,Medium,12.0,127.33333333333333,47.30237997728182,32.728573378769696,221.93809328789695
220,220,21,High,1.0,39.0,,,
220,220,21,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
220,220,21,Medium,12.0,127.33333333333333,47.30237997728182,32.728573378769696,221.93809328789695
221,221,21,High,1.0,39.0,,,
221,221,21,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
221,221,21,Medium,12.0,127.33333333333333,47.30237997728182,32.728573378769696,221.93809328789695
222,222,21,High,1.0,39.0,,,
222,222,21,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
222,222,21,Medium,12.0,127.33333333333333,47.30237997728182,32.728573378769696,221.93809328789695
223,223,21,High,1.0,39.0,,,
223,223,21,Low,8.0,145.125,37.66937937977134,69.78624124045731,220.46375875954269
223,223,21,Medium,12.0,127.33333333333333,47.30237997728182,32.728573378769696,221.93809328789695
224,224,23,High,1.0,39.0,,,
224,224,23,Low,9.0,151.66666666666666,40.33298897924626,71.00068870817414,232.33264462515916
224,224,23,Medium,13.0,133.84615384615384,51.0144524519705,31.817248942212842,235.87505875009484
225,225,23,High,1.0,39.0,,,
225,225,23,Low,9.0,151.66666666666666,40.33298897924626,71.00068870817414,232.33264462515916
225,225,23,Medium,13.0,133.84615384615384,51.0144524519705,31.817248942212842,235.87505875009484
226,226,24,High,1.0,39.0,,,
226,226,24,Low,9.0,151.66666666666666,40.33298897924626,71.00068870817414,232.33264462515916
226,226,24,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
227,227,25,High,1.0,39.0,,,
227,227,25,Low,10.0,152.0,38.04091364716562,75.91817270566877,228.08182729433122
227,227,25,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
228,228,25,High,1.0,39.0,,,
228,228,25,Low,10.0,152.0,38.04091364716562,75.91817270566877,228.08182729433122
228,228,25,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
229,229,25,High,1.0,39.0,,,
229,229,25,Low,10.0,152.0,38.04091364716562,75.91817270566877,228.08182729433122
229,229,25,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
230,230,25,High,1.0,39.0,,,
230,230,25,Low,10.0,152.0,38.04091364716562,75.91817270566877,228.08182729433122
230,230,25,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
231,231,25,High,1.0,39.0,,,
231,231,25,Low,10.0,152.0,38.04091364716562,75.91817270566877,228.08182729433122
231,231,25,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
232,232,25,High,1.0,39.0,,,
232,232,25,Low,10.0,152.0,38.04091364716562,75.91817270566877,228.08182729433122
232,232,25,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
233,233,25,High,1.0,39.0,,,
233,233,25,Low,10.0,152.0,38.04091364716562,75.91817270566877,228.08182729433122
233,233,25,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
234,234,25,High,1.0,39.0,,,
234,234,25,Low,10.0,152.0,38.04091364716562,75.91817270566877,228.08182729433122
234,234,25,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
235,235,26,High,1.0,39.0,,,
235,235,26,Low,11.0,150.54545454545453,36.40978889354794,77.72587675835865,223.3650323325504
235,235,26,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
236,236,27,High,1.0,39.0,,,
236,236,27,Low,12.0,154.83333333333334,37.75960644376313,79.31412044580708,230.3525462208596
236,236,27,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
237,237,27,High,1.0,39.0,,,
237,237,27,Low,12.0,154.83333333333334,37.75960644376313,79.31412044580708,230.3525462208596
237,237,27,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
238,238,27,High,1.0,39.0,,,
238,238,27,Low,12.0,154.83333333333334,37.75960644376313,79.31412044580708,230.3525462208596
238,238,27,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
239,239,28,High,1.0,39.0,,,
239,239,28,Low,13.0,152.07692307692307,37.493247255253706,77.09042856641565,227.06341758743048
239,239,28,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
240,240,28,High,1.0,39.0,,,
240,240,28,Low,13.0,152.07692307692307,37.493247255253706,77.09042856641565,227.06341758743048
240,240,28,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
241,241,28,High,1.0,39.0,,,
241,241,28,Low,13.0,152.07692307692307,37.493247255253706,77.09042856641565,227.06341758743048
241,241,28,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
242,242,28,High,1.0,39.0,,,
242,242,28,Low,13.0,152.07692307692307,37.493247255253706,77.09042856641565,227.06341758743048
242,242,28,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
243,243,29,High,1.0,39.0,,,
243,243,29,Low,14.0,153.85714285714286,36.633018193673614,80.59110646979563,227.12317924449007
243,243,29,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
244,244,29,High,1.0,39.0,,,
244,244,29,Low,14.0,153.85714285714286,36.633018193673614,80.59110646979563,227.12317924449007
244,244,29,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
245,245,29,High,1.0,39.0,,,
245,245,29,Low,14.0,153.85714285714286,36.633018193673614,80.59110646979563,227.12317924449007
245,245,29,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
246,246,30,High,1.0,39.0,,,
246,246,30,Low,15.0,156.66666666666666,36.93946141355893,82.7877438395488,230.54558949378452
246,246,30,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
247,247,30,High,1.0,39.0,,,
247,247,30,Low,15.0,156.66666666666666,36.93946141355893,82.7877438395488,230.54558949378452
247,247,30,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
248,248,30,High,1.0,39.0,,,
248,248,30,Low,15.0,156.66666666666666,36.93946141355893,82.7877438395488,230.54558949378452
248,248,30,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
249,249,31,High,2.0,133.0,132.93607486307093,-132.87214972614186,398.87214972614186
249,249,31,Low,15.0,156.66666666666666,36.93946141355893,82.7877438395488,230.54558949378452
249,249,31,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
250,250,31,High,2.0,133.0,132.93607486307093,-132.87214972614186,398.87214972614186
250,250,31,Low,15.0,156.66666666666666,36.93946141355893,82.7877438395488,230.54558949378452
250,250,31,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
251,251,31,High,2.0,133.0,132.93607486307093,-132.87214972614186,398.87214972614186
251,251,31,Low,15.0,156.66666666666666,36.93946141355893,82.7877438395488,230.54558949378452
251,251,31,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
252,252,31,High,2.0,133.0,132.93607486307093,-132.87214972614186,398.87214972614186
252,252,31,Low,15.0,156.66666666666666,36.93946141355893,82.7877438395488,230.54558949378452
252,252,31,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
253,253,31,High,2.0,133.0,132.93607486307093,-132.87214972614186,398.87214972614186
253,253,31,Low,15.0,156.66666666666666,36.93946141355893,82.7877438395488,230.54558949378452
253,253,31,Medium,14.0,129.92857142857142,51.15807220418251,27.612427020206397,232.24471583693645
254,254,33,High,2.0,133.0,132.93607486307093,-132.87214972614186,398.87214972614186
254,254,33,Low,15.0,156.66666666666666,36.93946141355893,82.7877438395488,230.54558949378452
254,254,33,Medium,16.0,136.125,50.785660705885604,34.55367858822879,237.6963214117712
255,255,34,High,2.0,133.0,132.93607486307093,-132.87214972614186,398.87214972614186
255,255,34,Low,15.0,156.66666666666666,36.93946141355893,82.7877438395488,230.54558949378452
255,255,34,Medium,17.0,141.0,53.1224999411737,34.7550001176526,247.2449998823474
256,256,36,High,2.0,133.0,132.93607486307093,-132.87214972614186,398.87214972614186
256,256,36,Low,17.0,158.94117647058823,36.23960297146496,86.46197052765831,231.42038241351815
256,256,36,Medium,17.0,141.0,53.1224999411737,34.7550001176526,247.2449998823474
257,257,36,High,2.0,133.0,132.93607486307093,-132.87214972614186,398.87214972614186
257,257,36,Low,17.0,158.94117647058823,36.23960297146496,86.46197052765831,231.42038241351815
257,257,36,Medium,17.0,141.0,53.1224999411737,34.7550001176526,247.2449998823474
258,258,36,High,2.0,133.0,132.93607486307093,-132.87214972614186,398.87214972614186
258,258,36,Low,17.0,158.94117647058823,36.23960297146496,86.46197052765831,231.42038241351815
258,258,36,Medium,17.0,141.0,53.1224999411737,34.7550001176526,247.2449998823474
259,259,36,High,2.0,133.0,132.93607486307093,-132.87214972614186,398.87214972614186
259,259,36,Low,17.0,158.94117647058823,36.23960297146496,86.46197052765831,231.42038241351815
259,259,36,Medium,17.0,141.0,53.1224999411737,34.7550001176526,247.2449998823474
260,260,37,High,3.0,173.33333333333334,117.11675086567818,-60.90016839802303,407.5668350646897
260,260,37,Low,17.0,158.94117647058823,36.23960297146496,86.46197052765831,231.42038241351815
260,260,37,Medium,17.0,141.0,53.1224999411737,34.7550001176526,247.2449998823474
261,261,38,High,3.0,173.33333333333334,117.11675086567818,-60.90016839802303,407.5668350646897
261,261,38,Low,18.0,162.55555555555554,38.356259129105446,85.84303729734465,239.26807381376642
261,261,38,Medium,17.0,141.0,53.1224999411737,34.7550001176526,247.2449998823474
262,262,39,High,3.0,173.33333333333334,117.11675086567818,-60.90016839802303,407.5668350646897
262,262,39,Low,19.0,164.94736842105263,38.706120222647726,87.53512797575718,242.35960886634808
262,262,39,Medium,17.0,141.0,53.1224999411737,34.7550001176526,247.2449998823474
263,263,40,High,3.0,173.33333333333334,117.11675086567818,-60.90016839802303,407.5668350646897
